2022,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,littlestella,2021-01-18 16:50:00,: 肺炎鏈球菌只有第三劑是自費，其他是公費喔,1610958136,肺炎鏈球菌只有第三劑是自費其他是公費喔,"['肺炎', '鏈球菌', '只有', '第三', '劑', '是', '自費', '其他', '是', '公費', '喔']","['Na', 'Na', 'D', 'Neu', 'Nf', 'SHI', 'VA', 'Neqa', 'SHI', 'Na', 'T']","['肺炎', '鏈球菌', '第三', '劑', '自費', '公費']",[],neutral
2032,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,ritachang708,2021-01-18 19:27:00,: 該打哪些疫苗喔(印象中自費也有),1610958136,該打哪些疫苗喔印象中自費也有,"['該', '打', '哪些', '疫苗', '喔', '印象', '中', '自費', '也', '有']","['D', 'VC', 'Neqa', 'Na', 'T', 'Na', 'Ncd', 'VA', 'D', 'V_2']","['疫苗', '印象', '中', '自費']",[],neutral
2033,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,tiiyuway    ,2021-01-18 19:39:00,: 都有打，黃卡上就有寫自費疫苗...,1610958136,都有打黃卡上就有寫自費疫苗,"['都', '有', '打', '黃卡', '上', '就', '有', '寫', '自費', '疫苗']","['D', 'V_2', 'VC', 'Nb', 'Ng', 'D', 'V_2', 'VC', 'VA', 'Na']","['黃卡', '寫', '自費', '疫苗']",[],neutral
2049,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,vvindcat    ,2021-01-18 22:24:00,: 有特別自費吃輪狀疫苗,1610958136,有特別自費吃輪狀疫苗,"['有', '特別', '自費', '吃', '輪狀', '疫苗']","['V_2', 'VH', 'VA', 'VC', 'A', 'Na']","['特別', '自費', '吃', '輪狀', '疫苗']",[],positive
2061,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,maxins      ,2021-01-19 02:44:00,: 我家寶寶有打自費疫苗，輪狀選兩劑型～因擔心三劑型,1610958136,我家寶寶有打自費疫苗輪狀選兩劑型因擔心三劑型,"['我', '家', '寶寶', '有', '打', '自費', '疫苗', '輪狀', '選', '兩', '劑型', '因', '擔心', '三', '劑型']","['Nh', 'Nc', 'Na', 'V_2', 'VC', 'VA', 'Na', 'A', 'VC', 'Neu', 'Na', 'Cbb', 'VK', 'Neu', 'Na']","['家', '寶寶', '自費', '疫苗', '輪狀', '選', '兩', '劑型', '擔心', '劑型']",[],negative
2065,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,fan0106     ,2021-01-19 04:41:00,: 就選兩劑耶。 之後就沒去醫院改去衛生所打疫苗,1610958136,就選兩劑耶之後就沒去醫院改去衛生所打疫苗,"['就', '選', '兩', '劑', '耶', '之後', '就', '沒', '去', '醫院', '改', '去', '衛生所', '打', '疫苗']","['D', 'VC', 'Neu', 'Nf', 'T', 'Ng', 'D', 'D', 'VCL', 'Nc', 'VC', 'VCL', 'Nc', 'VC', 'Na']","['選', '兩', '劑', '耶', '之後', '醫院', '改', '衛生所', '疫苗']",[],neutral
2070,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,jilllue0907 ,2021-01-19 09:52:00,: 也能能打能吃的自費疫苗都有打+1~輪狀病毒醫生也是,1610958136,也能能打能吃的自費疫苗都有打輪狀病毒醫生也是,"['也', '能', '能', '打', '能', '吃', '的', '自費', '疫苗', '都', '有', '打', '輪狀', '病毒', '醫生', '也', '是']","['D', 'D', 'D', 'VC', 'D', 'VC', 'DE', 'VA', 'Na', 'D', 'V_2', 'VC', 'A', 'Na', 'Na', 'D', 'SHI']","['吃', '自費', '疫苗', '輪狀', '病毒', '醫生']",[],neutral
2074,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,braves531   ,2021-01-19 10:35:00,: 。輪狀病毒不是只有一種，兩劑型的疫苗由1種輪狀病,1610958136,輪狀病毒不是只有一種兩劑型的疫苗由種輪狀病,"['輪狀', '病毒', '不', '是', '只有', '一', '種', '兩', '劑型', '的', '疫苗', '由', '種', '輪狀', '病']","['A', 'Na', 'D', 'SHI', 'D', 'Neu', 'Nf', 'Neu', 'Na', 'DE', 'Na', 'P', 'Nf', 'A', 'Na']","['輪狀', '病毒', '種', '兩', '劑型', '疫苗', '種', '輪狀', '病']",[],neutral
2077,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,ivan4579045 ,2021-01-19 11:20:00,: 幸好當時有給小孩吃疫苗，小孩有因此症狀輕微很多，,1610958136,幸好當時有給小孩吃疫苗小孩有因此症狀輕微很多,"['幸好', '當時', '有給', '小孩', '吃', '疫苗', '小孩', '有', '因此', '症狀', '輕微', '很多']","['D', 'Nd', 'A', 'Na', 'VC', 'Na', 'Na', 'V_2', 'Cbb', 'Na', 'VH', 'Neqa']","['幸好', '當時', '有給', '小孩', '吃', '疫苗', '小孩', '症狀', '輕微']",[],positive
2080,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,happynancy  ,2021-01-19 11:28:00,: 有吃輪狀 現在連大人都想補齊可以自費的疫苗,1610958136,有吃輪狀現在連大人都想補齊可以自費的疫苗,"['有', '吃', '輪狀', '現在', '連', '大人', '都', '想', '補齊', '可以', '自費', '的', '疫苗']","['V_2', 'VC', 'A', 'Nd', 'Cbb', 'Na', 'D', 'VE', 'VC', 'D', 'VA', 'DE', 'Na']","['吃', '輪狀', '現在', '大人', '想', '補齊', '自費', '疫苗']",[],neutral
2082,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,yiyi015     ,2021-01-19 11:57:00,: 我爸媽前幾個月都自費打完13價肺炎鏈球菌,1610958136,我爸媽前幾個月都自費打完價肺炎鏈球菌,"['我', '爸媽', '前', '幾', '個', '月', '都', '自費', '打完', '價', '肺炎', '鏈球菌']","['Nh', 'Na', 'Ng', 'Neu', 'Nf', 'Na', 'D', 'VA', 'VC', 'Na', 'Na', 'Na']","['爸媽', '前', '月', '自費', '打完', '價', '肺炎', '鏈球菌']",[],neutral
2088,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,NEENEEV     ,2021-01-19 12:35:00,: 生打新生兒公費疫苗會順道衛教 可以直接問,1610958136,生打新生兒公費疫苗會順道衛教可以直接問,"['生', '打', '新生兒', '公費', '疫苗', '會', '順道', '衛教', '可以', '直接', '問']","['VH', 'VC', 'Na', 'Na', 'Na', 'D', 'D', 'Na', 'D', 'VH', 'VE']","['生', '新生兒', '公費', '疫苗', '順道', '衛教', '直接', '問']",[],neutral
2095,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,suilinyuee  ,2021-01-19 15:27:00,: 肺炎之前板上有人說有13價之外的自費疫苗,1610958136,肺炎之前板上有人說有價之外的自費疫苗,"['肺炎', '之前', '板', '上', '有', '人', '說', '有價', '之外', '的', '自費', '疫苗']","['Na', 'Ng', 'Na', 'Ncd', 'V_2', 'Na', 'VE', 'A', 'Ng', 'DE', 'VA', 'Na']","['肺炎', '之前', '板', '人', '說', '有價', '之外', '自費', '疫苗']",[],neutral
2098,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,vtn973jy    ,2021-01-19 16:02:00,: 省其他的消費給寶寶打疫苗，都比之後生病花錢花心力,1610958136,省其他的消費給寶寶打疫苗都比之後生病花錢花心力,"['省', '其他', '的', '消費', '給', '寶寶', '打', '疫苗', '都', '比', '之後', '生病', '花錢', '花', '心力']","['VJ', 'Neqa', 'DE', 'Na', 'VD', 'Na', 'VC', 'Na', 'D', 'VC', 'Ng', 'VH', 'VA', 'VC', 'Na']","['省', '消費', '寶寶', '疫苗', '之後', '生病', '花錢', '花', '心力']",[],negative
2106,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,winnie759281,2021-01-19 16:28:00,: 說說看我誤導了別人什麼錯誤觀念?輪狀疫苗也不是,1610958136,說說看我誤導了別人什麼錯誤觀念輪狀疫苗也不是,"['說說', '看', '我', '誤導', '了', '別人', '什麼', '錯誤', '觀念', '輪狀', '疫苗', '也', '不', '是']","['VE', 'VC', 'Nh', 'VC', 'Di', 'Nh', 'Nep', 'Na', 'Na', 'A', 'Na', 'D', 'D', 'SHI']","['說說', '誤導', '錯誤', '觀念', '輪狀', '疫苗']",[],negative
2111,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,winnie759281,2021-01-19 16:43:00,": 不是每個人服用疫苗時間都一樣,一開始沒喝後來補的",1610958136,不是每個人服用疫苗時間都一樣一開始沒喝後來補的,"['不', '是', '每', '個', '人', '服用', '疫苗', '時間', '都', '一樣', '一', '開始', '沒', '喝', '後來', '補', '的']","['D', 'SHI', 'Nes', 'Nf', 'Na', 'VC', 'Na', 'Na', 'D', 'VH', 'D', 'VL', 'D', 'VC', 'Nd', 'VC', 'DE']","['人', '服用', '疫苗', '時間', '喝', '補']",[],neutral
2118,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,debut       ,2021-01-19 18:00:00,": 另外自己不照時程是怪我囉?乾脆5合1,肺炎,B肝全部",1610958136,另外自己不照時程是怪我囉乾脆合肺炎肝全部,"['另外', '自己', '不', '照', '時程', '是', '怪', '我', '囉', '乾脆', '合', '肺炎', '肝', '全部']","['Cbb', 'Nh', 'D', 'P', 'Na', 'SHI', 'VK', 'Nh', 'T', 'VH', 'VJ', 'Na', 'Na', 'Neqa']","['時程', '囉', '乾脆', '合', '肺炎', '肝', '全部']",[],neutral
2134,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610958136.A.CF9.html,debut       ,2021-01-20 00:32:00,: 會盡可能地把疫苗能集中打就集中打。如果有人刻意不,1610958136,會盡可能地把疫苗能集中打就集中打如果有人刻意不,"['會', '盡可能', '地', '把', '疫苗', '能', '集中', '打', '就', '集中', '打', '如果', '有', '人', '刻意', '不']","['D', 'D', 'DE', 'P', 'Na', 'D', 'VC', 'VC', 'D', 'VC', 'VC', 'Cbb', 'V_2', 'Na', 'D', 'D']","['盡可能', '疫苗', '集中', '集中', '人', '刻意']",[],neutral
2617,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610909020.A.A96.html,Ewhen       ,2021-01-18 05:34:00,: 口罩建議看包裝標示的尺寸比較準確，但4歲戴6-10歲,1610909020,口罩建議看包裝標示的尺寸比較準確但歲戴歲,"['口罩', '建議', '看', '包裝', '標示', '的', '尺寸', '比較', '準確', '但', '歲', '戴', '歲']","['Na', 'VE', 'VC', 'Na', 'VC', 'DE', 'Na', 'Dfa', 'VH', 'Cbb', 'Nf', 'VC', 'Nf']","['口罩', '建議', '包裝', '標示', '尺寸', '比較', '準確', '歲', '戴', '歲']",[],positive
2644,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610909020.A.A96.html,sunnie5566  ,2021-01-18 13:48:00,: 平面口罩，立體的他們介於幼幼和小童之間（臉小），,1610909020,平面口罩立體的他們介於幼幼和小童之間臉小,"['平面', '口罩', '立體', '的', '他們', '介於', '幼幼', '和', '小童', '之間', '臉', '小']","['Na', 'Na', 'VH', 'DE', 'Nh', 'VJ', 'Na', 'Caa', 'Na', 'Ng', 'Na', 'VH']","['平面', '口罩', '立體', '介於', '幼幼', '小童', '之間', '臉', '小']",[],neutral
2909,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610899678.A.F4A.html,wolfbla12   ,2021-01-18 01:16:00,: 我家大寶也是，1y7m前摘口罩都比川劇變臉還快，然,1610899678,我家大寶也是前摘口罩都比川劇變臉還快然,"['我', '家', '大', '寶', '也', '是', '前摘', '口罩', '都', '比', '川', '劇變', '臉', '還', '快', '然']","['Nh', 'Nc', 'VH', 'Na', 'D', 'SHI', 'VC', 'Na', 'D', 'P', 'Nc', 'Na', 'Na', 'D', 'D', 'VH']","['家', '寶', '前摘', '口罩', '川', '劇變', '臉']",[],neutral
2912,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610899678.A.F4A.html,coyote918   ,2021-01-18 17:03:00,: 同意，跟訓練無關，2歲的某一天，突然就願意戴口罩,1610899678,同意跟訓練無關歲的某一天突然就願意戴口罩,"['同意', '跟', '訓練', '無關', '歲', '的', '某', '一', '天', '突然', '就', '願意', '戴', '口罩']","['VK', 'P', 'Na', 'VH', 'Nf', 'DE', 'Nes', 'Neu', 'Nf', 'D', 'D', 'VK', 'VC', 'Na']","['同意', '訓練', '無關', '歲', '天', '突然', '願意', '戴', '口罩']",[],positive
2915,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610899678.A.F4A.html,Deleeop     ,2021-01-19 08:43:00,: 口罩的存在 成功戴了好幾個小時XD,1610899678,口罩的存在成功戴了好幾個小時,"['口罩', '的', '存在', '成功', '戴', '了', '好幾', '個', '小時']","['Na', 'DE', 'VA', 'VH', 'VC', 'Di', 'Neu', 'Nf', 'Na']","['口罩', '存在', '成功', '戴', '好幾', '小時']",[],positive
2917,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610899678.A.F4A.html,winsonwu    ,2021-01-19 14:46:00,: 戴口罩問他要不要戴，自己就指著口罩，後來帶出門也,1610899678,戴口罩問他要不要戴自己就指著口罩後來帶出門也,"['戴', '口罩', '問', '他', '要不要', '戴', '自己', '就', '指', '著', '口罩', '後來', '帶', '出門', '也']","['VC', 'Na', 'VE', 'Nh', 'D', 'VC', 'Nh', 'D', 'VC', 'Di', 'Na', 'Nd', 'VC', 'VA', 'D']","['戴', '口罩', '問', '要不要', '戴', '指', '口罩', '出門']",[],neutral
2923,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610898556.A.535.html,FloraPiglet ,2021-01-18 16:56:00,: 兩歲以上才需要戴口罩，現在應該一樣吧,1610898556,兩歲以上才需要戴口罩現在應該一樣吧,"['兩', '歲', '以上', '才', '需要', '戴', '口罩', '現在', '應該', '一樣', '吧']","['Neu', 'Nf', 'Ng', 'Da', 'VK', 'VC', 'Na', 'Nd', 'D', 'VH', 'T']","['兩', '歲', '以上', '需要', '戴', '口罩', '現在', '應該']",[],neutral
2960,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610892939.A.4AB.html,BLUEJOANNE  ,2021-01-17 22:17:00,: 三個月的小朋友 扯口罩 你怎知道他是不是呼吸難受?,1610892939,三個月的小朋友扯口罩你怎知道他是不是呼吸難受,"['三', '個', '月', '的', '小朋友', '扯', '口罩', '你', '怎', '知道', '他', '是', '不', '是', '呼吸', '難受']","['Neu', 'Nf', 'Na', 'DE', 'Na', 'VC', 'Na', 'Nh', 'D', 'VK', 'Nh', 'SHI', 'D', 'SHI', 'VC', 'VH']","['月', '小朋友', '扯', '口罩', '知道', '呼吸', '難受']",[],negative
2964,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610892939.A.4AB.html,beavergal   ,2021-01-17 23:57:00,: 戴口罩,1610892939,戴口罩,"['戴', '口罩']","['VC', 'Na']","['戴', '口罩']",[],neutral
2969,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610892939.A.4AB.html,beavergal   ,2021-01-18 00:01:00,: 回二樓，可以的。小孩三歲了也沒吃過奶嘴，口罩可以,1610892939,回二樓可以的小孩三歲了也沒吃過奶嘴口罩可以,"['回', '二樓', '可以', '的', '小孩', '三', '歲', '了', '也', '沒', '吃', '過', '奶嘴', '口罩', '可以']","['VCL', 'Nc', 'D', 'DE', 'Na', 'Neu', 'Nf', 'T', 'D', 'D', 'VC', 'Di', 'Na', 'Na', 'D']","['回', '二樓', '小孩', '歲', '吃', '奶嘴', '口罩']",[],neutral
2971,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610892939.A.4AB.html,beavergal   ,2021-01-18 00:01:00,: 設鬧鐘提醒自己要幫她換口罩,1610892939,設鬧鐘提醒自己要幫她換口罩,"['設', '鬧鐘', '提醒', '自己', '要', '幫', '她', '換', '口罩']","['VC', 'Na', 'VE', 'Nh', 'D', 'P', 'Nh', 'VC', 'Na']","['設', '鬧鐘', '提醒', '幫', '換', '口罩']",[],neutral
2974,ptt_BabyMother,https://www.ptt.cc/bbs/BabyMother/M.1610892939.A.4AB.html,Neuville    ,2021-01-18 07:53:00,: 3m就開始戴好厲害！而且還不是疫情期間呢,1610892939,就開始戴好厲害而且還不是疫情期間呢,"['就', '開始', '戴', '好', '厲害', '而且', '還不是', '疫情', '期間', '呢']","['D', 'VL', 'VC', 'Dfa', 'VH', 'Cbb', 'D', 'Na', 'Na', 'T']","['戴', '好', '厲害', '還不是', '疫情', '期間']",[],neutral
